Task lang,rank1 lang,rank2 lang,rank3 lang
tam,sqi,msa,mon
fas,vie,urd,tur
ita,sqi,msa,mon
kaz,sqi,msa,mon
lit,sqi,msa,mon
tha,sqi,msa,mon
fin,sqi,msa,mon
eus,sqi,msa,mon
dan,sqi,msa,mon
glg,sqi,msa,mon
slv,sqi,msa,mon
mon,vie,urd,ukr
nob,sqi,msa,mon
bel,sqi,msa,mon
hun,sqi,msa,mon
bul,sqi,msa,mon
ukr,sqi,msa,mon
rus,sqi,msa,mon
slk,sqi,msa,mon
hrv,sqi,msa,mon
nld,sqi,msa,mon
ben,sqi,msa,mon
msa,vie,urd,ukr
ces,sqi,msa,mon
swe,sqi,msa,mon
ell,sqi,msa,mon
spa,sqi,msa,mon
tur,sqi,msa,mon
jpn,sqi,msa,mon
kur,sqi,msa,mon
ron,sqi,msa,mon
kat,sqi,msa,mon
vie,sqi,msa,mon
bos,sqi,msa,mon
hin,sqi,msa,mon
por,sqi,msa,mon
sqi,vie,urd,ukr
ind,sqi,msa,mon
kor,sqi,msa,mon
heb,sqi,msa,mon
deu,sqi,msa,mon
pol,sqi,msa,mon
epo,sqi,msa,mon
mar,sqi,msa,mon
srp,sqi,msa,mon
mkd,sqi,msa,mon
urd,sqi,msa,mon
hye,sqi,msa,mon
aze,vie,urd,ukr
cmn,sqi,msa,mon
fra,sqi,msa,mon
mya,sqi,msa,mon
ara,urd,ukr,tha
est,sqi,msa,mon
