Task lang,rank1 lang,rank2 lang,rank3 lang
tam,vie,urd,ukr
fas,vie,urd,tur
ita,tha,tam,sqi
kaz,vie,urd,ukr
lit,vie,tur,tha
tha,vie,urd,ukr
fin,vie,urd,ukr
eus,vie,urd,ukr
dan,vie,tur,tha
glg,vie,tur,tha
slv,vie,tur,tha
mon,vie,urd,ukr
nob,vie,urd,ukr
bel,vie,tur,tha
hun,vie,urd,ukr
bul,vie,tha,tam
ukr,vie,tur,tha
rus,tha,tam,sqi
slk,vie,tur,tha
hrv,vie,tur,tha
nld,tha,tam,sqi
ben,vie,tur,tha
msa,vie,urd,ukr
ces,vie,tur,tha
swe,vie,tur,tha
ell,vie,tur,tha
spa,tha,tam,sqi
tur,urd,ukr,tha
jpn,urd,ukr,tha
kur,vie,urd,ukr
ron,tha,tam,sqi
kat,vie,urd,ukr
vie,urd,ukr,tha
bos,vie,tur,tha
hin,vie,tur,tha
por,tha,tam,sqi
sqi,vie,urd,ukr
ind,vie,urd,ukr
kor,urd,ukr,tha
heb,urd,ukr,tha
deu,tur,tha,tam
pol,tha,tam,sqi
epo,vie,urd,ukr
mar,vie,tur,tha
srp,vie,tur,tha
mkd,vie,tur,tha
urd,vie,tur,tha
hye,vie,tur,tha
aze,vie,urd,ukr
cmn,urd,ukr,tha
fra,tha,tam,sqi
mya,vie,urd,ukr
ara,urd,ukr,tha
est,vie,urd,ukr
